,lstrLevel,lsregion,lscc,lsccDesc,lsrcode,lsrcodeDesc,lsaa,lsaaDesc,lstt,lsttDesc,lsmm,lsmmDesc,lsyymm,lssumtotMale,lssumtotFemale,lssumtotTot
54,0,0,67,จังหวัดเพชรบูรณ์, , ,0, ,0, ,0, ,6501,482017,495986,978003
55,0,0,70,จังหวัดราชบุรี, , ,0, ,0, ,0, ,6501,421807,446300,868107
56,0,0,71,จังหวัดกาญจนบุรี, , ,0, ,0, ,0, ,6501,448690,445753,894443
57,0,0,72,จังหวัดสุพรรณบุรี, , ,0, ,0, ,0, ,6501,402542,432296,834838
58,0,0,73,จังหวัดนครปฐม, , ,0, ,0, ,0, ,6501,442716,479491,922207
59,0,0,74,จังหวัดสมุทรสาคร, , ,0, ,0, ,0, ,6501,282886,304382,587268
60,0,0,75,จังหวัดสมุทรสงคราม, , ,0, ,0, ,0, ,6501,91043,99684,190727
61,0,0,76,จังหวัดเพชรบุรี, , ,0, ,0, ,0, ,6501,232874,249967,482841
62,0,0,77,จังหวัดประจวบคีรีขันธ์, , ,0, ,0, ,0, ,6501,274162,279207,553369
63,0,0,80,จังหวัดนครศรีธรรมราช, , ,0, ,0, ,0, ,6501,764329,784675,1549004
64,0,0,81,จังหวัดกระบี่, , ,0, ,0, ,0, ,6501,238153,241261,479414
65,0,0,82,จังหวัดพังงา, , ,0, ,0, ,0, ,6501,133773,134219,267992
66,0,0,83,จังหวัดภูเก็ต, , ,0, ,0, ,0, ,6501,197717,220772,418489
67,0,0,84,จังหวัดสุราษฎร์ธานี, , ,0, ,0, ,0, ,6501,527281,545013,1072294
68,0,0,85,จังหวัดระนอง, , ,0, ,0, ,0, ,6501,98146,96463,194609
69,0,0,86,จังหวัดชุมพร, , ,0, ,0, ,0, ,6501,251432,258124,509556
70,0,0,90,จังหวัดสงขลา, , ,0, ,0, ,0, ,6501,697167,734361,1431528
71,0,0,91,จังหวัดสตูล, , ,0, ,0, ,0, ,6501,161655,163211,324866
72,0,0,92,จังหวัดตรัง, , ,0, ,0, ,0, ,6501,312608,327054,639662
73,0,0,93,จังหวัดพัทลุง, , ,0, ,0, ,0, ,6501,254389,268078,522467
74,0,0,94,จังหวัดปัตตานี, , ,0, ,0, ,0, ,6501,360499,369369,729868
75,0,0,95,จังหวัดยะลา, , ,0, ,0, ,0, ,6501,270030,272564,542594
76,0,0,96,จังหวัดนราธิวาส, , ,0, ,0, ,0, ,6501,400747,409332,810079
0,0,0,10,กรุงเทพมหานคร, , ,0, ,0, ,0, ,6601,2570432,2921765,5492197
1,0,0,11,จังหวัดสมุทรปราการ, , ,0, ,0, ,0, ,6601,647008,714181,1361189
2,0,0,12,จังหวัดนนทบุรี, , ,0, ,0, ,0, ,6601,602072,694904,1296976
3,0,0,13,จังหวัดปทุมธานี, , ,0, ,0, ,0, ,6601,569409,633266,1202675
4,0,0,14,จังหวัดพระนครศรีอยุธยา, , ,0, ,0, ,0, ,6601,393648,426769,820417
5,0,0,15,จังหวัดอ่างทอง, , ,0, ,0, ,0, ,6601,130268,142186,272454
6,0,0,16,จังหวัดลพบุรี, , ,0, ,0, ,0, ,6601,366071,368813,734884
7,0,0,17,จังหวัดสิงห์บุรี, , ,0, ,0, ,0, ,6601,96252,106353,202605
8,0,0,18,จังหวัดชัยนาท, , ,0, ,0, ,0, ,6601,152697,165399,318096
9,0,0,19,จังหวัดสระบุรี, , ,0, ,0, ,0, ,6601,313247,325367,638614
10,0,0,20,จังหวัดชลบุรี, , ,0, ,0, ,0, ,6601,778061,818489,1596550
11,0,0,21,จังหวัดระยอง, , ,0, ,0, ,0, ,6601,373264,386982,760246
12,0,0,22,จังหวัดจันทบุรี, , ,0, ,0, ,0, ,6601,261843,274223,536066
13,0,0,23,จังหวัดตราด, , ,0, ,0, ,0, ,6601,112580,115131,227711
14,0,0,24,จังหวัดฉะเชิงเทรา, , ,0, ,0, ,0, ,6601,355821,371025,726846
15,0,0,25,จังหวัดปราจีนบุรี, , ,0, ,0, ,0, ,6601,246115,251984,498099
16,0,0,26,จังหวัดนครนายก, , ,0, ,0, ,0, ,6601,128720,131564,260284
17,0,0,27,จังหวัดสระแก้ว, , ,0, ,0, ,0, ,6601,281242,281561,562803
18,0,0,30,จังหวัดนครราชสีมา, , ,0, ,0, ,0, ,6601,1289781,1339589,2629370
19,0,0,31,จังหวัดบุรีรัมย์, , ,0, ,0, ,0, ,6601,781200,795195,1576395
20,0,0,32,จังหวัดสุรินทร์, , ,0, ,0, ,0, ,6601,682084,690404,1372488
21,0,0,33,จังหวัดศรีสะเกษ, , ,0, ,0, ,0, ,6601,723317,730817,1454134
22,0,0,34,จังหวัดอุบลราชธานี, , ,0, ,0, ,0, ,6601,932018,937690,1869708
23,0,0,35,จังหวัดยโสธร, , ,0, ,0, ,0, ,6601,264640,266758,531398
24,0,0,36,จังหวัดชัยภูมิ, , ,0, ,0, ,0, ,6601,551030,566285,1117315
25,0,0,37,จังหวัดอำนาจเจริญ, , ,0, ,0, ,0, ,6601,186528,188755,375283
26,0,0,38,จังหวัดบึงกาฬ, , ,0, ,0, ,0, ,6601,211025,210537,421562
27,0,0,39,จังหวัดหนองบัวลำภู, , ,0, ,0, ,0, ,6601,253183,254962,508145
28,0,0,40,จังหวัดขอนแก่น, , ,0, ,0, ,0, ,6601,875689,908205,1783894
29,0,0,41,จังหวัดอุดรธานี, , ,0, ,0, ,0, ,6601,771994,790526,1562520
30,0,0,42,จังหวัดเลย, , ,0, ,0, ,0, ,6601,318931,318172,637103
31,0,0,43,จังหวัดหนองคาย, , ,0, ,0, ,0, ,6601,255296,260399,515695
32,0,0,44,จังหวัดมหาสารคาม, , ,0, ,0, ,0, ,6601,462564,481347,943911
33,0,0,45,จังหวัดร้อยเอ็ด, , ,0, ,0, ,0, ,6601,638609,651924,1290533
34,0,0,46,จังหวัดกาฬสินธุ์, , ,0, ,0, ,0, ,6601,479624,492058,971682
35,0,0,47,จังหวัดสกลนคร, , ,0, ,0, ,0, ,6601,568398,576555,1144953
36,0,0,48,จังหวัดนครพนม, , ,0, ,0, ,0, ,6601,356780,359764,716544
37,0,0,49,จังหวัดมุกดาหาร, , ,0, ,0, ,0, ,6601,175558,176049,351607
38,0,0,50,จังหวัดเชียงใหม่, , ,0, ,0, ,0, ,6601,864387,928263,1792650
39,0,0,51,จังหวัดลำพูน, , ,0, ,0, ,0, ,6601,191463,207882,399345
40,0,0,52,จังหวัดลำปาง, , ,0, ,0, ,0, ,6601,349173,368890,718063
41,0,0,53,จังหวัดอุตรดิตถ์, , ,0, ,0, ,0, ,6601,215486,227186,442672
42,0,0,54,จังหวัดแพร่, , ,0, ,0, ,0, ,6601,206997,223337,430334
43,0,0,55,จังหวัดน่าน, , ,0, ,0, ,0, ,6601,236845,237512,474357
44,0,0,56,จังหวัดพะเยา, , ,0, ,0, ,0, ,6601,223888,237269,461157
