,budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per
179,2559,03,ปปส.ภาค 3,34,อุบลราชธานี,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
180,2559,04,ปปส.ภาค 4,46,กาฬสินธุ์,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
181,2559,04,ปปส.ภาค 4,40,ขอนแก่น,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
182,2559,04,ปปส.ภาค 4,48,นครพนม,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
183,2559,04,ปปส.ภาค 4,38,บึงกาฬ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
184,2559,04,ปปส.ภาค 4,44,มหาสารคาม,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
185,2559,04,ปปส.ภาค 4,49,มุกดาหาร,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
186,2559,04,ปปส.ภาค 4,45,ร้อยเอ็ด,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
187,2559,04,ปปส.ภาค 4,42,เลย,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
188,2559,04,ปปส.ภาค 4,47,สกลนคร,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
189,2559,04,ปปส.ภาค 4,43,หนองคาย,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190,2559,04,ปปส.ภาค 4,39,หนองบัวลำภู,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
191,2559,04,ปปส.ภาค 4,41,อุดรธานี,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
192,2559,05,ปปส.ภาค 5,57,เชียงราย,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
193,2559,05,ปปส.ภาค 5,50,เชียงใหม่,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
194,2559,05,ปปส.ภาค 5,55,น่าน,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
195,2559,05,ปปส.ภาค 5,56,พะเยา,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
196,2559,05,ปปส.ภาค 5,54,แพร่,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
197,2559,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
198,2559,05,ปปส.ภาค 5,52,ลำปาง,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
199,2559,05,ปปส.ภาค 5,51,ลำพูน,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
200,2559,06,ปปส.ภาค 6,62,กำแพงเพชร,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
201,2559,06,ปปส.ภาค 6,63,ตาก,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
202,2559,06,ปปส.ภาค 6,60,นครสวรรค์,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
203,2559,06,ปปส.ภาค 6,66,พิจิตร,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
204,2559,06,ปปส.ภาค 6,65,พิษณุโลก,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
205,2559,06,ปปส.ภาค 6,67,เพชรบูรณ์,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
206,2559,06,ปปส.ภาค 6,64,สุโขทัย,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
207,2559,06,ปปส.ภาค 6,53,อุตรดิตถ์,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
208,2559,06,ปปส.ภาค 6,61,อุทัยธานี,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
209,2559,07,ปปส.ภาค 7,71,กาญจนบุรี,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
210,2559,07,ปปส.ภาค 7,73,นครปฐม,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
211,2559,07,ปปส.ภาค 7,77,ประจวบคีรีขันธ์,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
212,2559,07,ปปส.ภาค 7,76,เพชรบุรี,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
213,2559,07,ปปส.ภาค 7,70,ราชบุรี,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
214,2559,07,ปปส.ภาค 7,75,สมุทรสงคราม,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
215,2559,07,ปปส.ภาค 7,74,สมุทรสาคร,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
216,2559,07,ปปส.ภาค 7,72,สุพรรณบุรี,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
217,2559,08,ปปส.ภาค 8,81,กระบี่,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
218,2559,08,ปปส.ภาค 8,86,ชุมพร,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
219,2559,08,ปปส.ภาค 8,80,นครศรีธรรมราช,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
220,2559,08,ปปส.ภาค 8,82,พังงา,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
221,2559,08,ปปส.ภาค 8,83,ภูเก็ต,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
222,2559,08,ปปส.ภาค 8,85,ระนอง,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
223,2559,08,ปปส.ภาค 8,84,สุราษฎร์ธานี,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
224,2559,09,ปปส.ภาค 9,92,ตรัง,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
225,2559,09,ปปส.ภาค 9,96,นราธิวาส,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
226,2559,09,ปปส.ภาค 9,94,ปัตตานี,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
227,2559,09,ปปส.ภาค 9,93,พัทลุง,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
228,2559,09,ปปส.ภาค 9,95,ยะลา,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
229,2559,09,ปปส.ภาค 9,90,สงขลา,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
